"Symbol","Security","Added","Removed"
"HCA","HCA Healthcare",2015-01-27,NA
"PEAK","Healthpeak",2008-03-31,NA
"HSIC","Henry Schein",2015-03-17,NA
"HSY","Hershey's",1957-03-04,NA
"HES","Hess Corporation",1984-05-31,NA
"HPE","Hewlett Packard Enterprise",2015-11-02,NA
"HLT","Hilton Worldwide",2017-06-19,NA
"HOLX","Hologic",2016-03-30,NA
"HD","Home Depot (The)",1988-03-31,NA
"HON","Honeywell",1957-03-04,NA
"HRL","Hormel Foods",2009-03-04,NA
"HST","Host Hotels & Resorts",2007-03-20,NA
"HWM","Howmet Aerospace",1957-03-04,NA
"HPQ","HP Inc.",1974-12-31,NA
"HUBB","Hubbell Incorporated",2023-10-18,NA
"HUM","Humana",2012-12-10,NA
"HBAN","Huntington Bancshares",1997-08-28,NA
"HII","Huntington Ingalls Industries",2018-01-03,NA
"IBM","IBM",1957-03-04,NA
"IEX","IDEX Corporation",2019-08-09,NA
"IDXX","Idexx Laboratories",2017-01-05,NA
"ITW","Illinois Tool Works",1986-02-28,NA
"ILMN","Illumina",2015-11-19,NA
"INCY","Incyte",2017-02-28,NA
"IR","Ingersoll Rand",2020-03-03,NA
"PODD","Insulet",2023-03-15,NA
"INTC","Intel",1976-12-31,NA
"ICE","Intercontinental Exchange",2007-09-26,NA
"IFF","International Flavors & Fragrances",1976-03-31,NA
"IP","International Paper",1957-03-04,NA
"IPG","Interpublic Group of Companies (The)",1992-10-01,NA
"INTU","Intuit",2000-12-05,NA
"ISRG","Intuitive Surgical",2008-06-02,NA
"IVZ","Invesco",2008-08-21,NA
"INVH","Invitation Homes",2022-09-19,NA
"IQV","IQVIA",2017-08-29,NA
"IRM","Iron Mountain",2009-01-06,NA
"JBHT","J.B. Hunt",2015-07-01,NA
"JBL","Jabil",2023-12-18,NA
"JKHY","Jack Henry & Associates",2018-11-13,NA
"J","Jacobs Solutions",2007-10-26,NA
"JNJ","Johnson & Johnson",1973-06-30,NA
"JCI","Johnson Controls",2010-08-27,NA
"JPM","JPMorgan Chase",1975-06-30,NA
"JNPR","Juniper Networks",2006-06-02,NA
"K","Kellanova",1989-09-11,NA
"KVUE","Kenvue",2023-08-25,NA
"KDP","Keurig Dr Pepper",2022-06-21,NA
"KEY","KeyCorp",1994-03-01,NA
"KEYS","Keysight",2018-11-06,NA
"KMB","Kimberly-Clark",1957-03-04,NA
"KIM","Kimco Realty",2006-04-04,NA
"KMI","Kinder Morgan",2012-05-25,NA
"KLAC","KLA Corporation",1997-09-30,NA
"KHC","Kraft Heinz",2015-07-06,NA
"KR","Kroger",1957-03-04,NA
"LHX","L3Harris",2008-09-22,NA
"LH","LabCorp",2004-11-01,NA
"LRCX","Lam Research",2012-06-29,NA
"LW","Lamb Weston",2018-12-03,NA
"LVS","Las Vegas Sands",2019-10-03,NA
"LDOS","Leidos",2019-08-09,NA
"LEN","Lennar",2005-10-04,NA
"LIN","Linde plc",1992-07-01,NA
"LYV","Live Nation Entertainment",2019-12-23,NA
"LKQ","LKQ Corporation",2016-05-23,NA
"LMT","Lockheed Martin",1957-03-04,NA
"L","Loews Corporation",1995-05-31,NA
"LOW","Lowe's",1984-02-29,NA
"LULU","Lululemon Athletica",2023-10-18,NA
"LYB","LyondellBasell",2012-09-05,NA
"MTB","M&T Bank",2004-02-23,NA
"MRO","Marathon Oil",1957-03-04,NA
"MPC","Marathon Petroleum",2011-07-01,NA
"MKTX","MarketAxess",2019-07-01,NA
"MAR","Marriott International",1998-05-29,NA
"MMC","Marsh McLennan",1987-08-31,NA
"MLM","Martin Marietta Materials",2014-07-02,NA
"MAS","Masco",1981-06-30,NA
"MA","Mastercard",2008-07-18,NA
"MTCH","Match Group",2021-09-20,NA
"MKC","McCormick & Company",2003-03-20,NA
"MCD","McDonald's",1970-06-30,NA
"MCK","McKesson",1999-01-13,NA
"MDT","Medtronic",1986-10-31,NA
"MRK","Merck & Co.",1957-03-04,NA
"META","Meta Platforms",2013-12-23,NA
"MET","MetLife",2000-12-11,NA
"MTD","Mettler Toledo",2016-09-06,NA
"MGM","MGM Resorts",2017-07-26,NA
"MCHP","Microchip Technology",2007-09-07,NA
"MU","Micron Technology",1994-09-27,NA
"MSFT","Microsoft",1994-06-01,NA
"MAA","Mid-America Apartment Communities",2016-12-02,NA
"MRNA","Moderna",2021-07-21,NA
"MHK","Mohawk Industries",2013-12-23,NA
"MOH","Molina Healthcare",2022-03-02,NA
"TAP","Molson Coors Beverage Company",1976-06-30,NA
"MDLZ","Mondelez International",2012-10-02,NA
"MPWR","Monolithic Power Systems",2021-02-12,NA
"MNST","Monster Beverage",2012-06-28,NA
"MCO","Moody's Corporation",1998-07-01,NA
"MS","Morgan Stanley",1993-07-29,NA
"MOS","Mosaic Company (The)",2011-09-26,NA
"MSI","Motorola Solutions",1957-03-04,NA
